VM5248:1 coord_Warszawa, Województwo mazowieckie, Poland {"lat":52.2333742,"lng":21.0711489,"city":"Warszawa","state":"Województwo mazowieckie","country":"Poland"}
VM5248:1 coord_Brampton, ON, Canada {"lat":43.685832,"lng":-79.7599366,"city":"Brampton","state":"ON","country":"Canada"}
VM5248:1 coord_Plymouth, England, United Kingdom {"lat":50.3714122,"lng":-4.1424451,"city":"Plymouth","state":"England","country":"United Kingdom"}
VM5248:1 coord_Pocatello, ID, USA {"lat":42.8620287,"lng":-112.450627,"city":"Pocatello","state":"ID","country":"USA"}
VM5248:1 coord_Pehchevo, Municipality of Pehčevo, North Macedonia {"lat":41.7635729,"lng":22.8873017,"city":"Pehchevo","state":"Municipality of Pehčevo","country":"North Macedonia"}
VM5248:1 coord_Battle Ground, WA, USA {"lat":45.7813532,"lng":-122.5337433,"city":"Battle Ground","state":"WA","country":"USA"}
VM5248:1 coord_Rimini, Emilia-Romagna, Italy {"lat":43.9465433,"lng":12.630749,"city":"Rimini","state":"Emilia-Romagna","country":"Italy"}
VM5248:1 coord_New Delhi, Delhi, India {"lat":28.6430858,"lng":77.2192671,"city":"New Delhi","state":"Delhi","country":"India"}
VM5248:1 coord_Amherst, MA, USA {"lat":42.3731948,"lng":-72.5198761,"city":"Amherst","state":"MA","country":"USA"}
VM5248:1 coord_Redondo Beach, CA, USA {"lat":33.8398289,"lng":-118.3845942,"city":"Redondo Beach","state":"CA","country":"USA"}
VM5248:1 coord_West Pasco, WA, USA {"lat":46.2504355,"lng":-119.1878944,"city":"West Pasco","state":"WA","country":"USA"}
VM5248:1 coord_Sheffield Lake, OH, USA {"lat":41.48754,"lng":-82.101537,"city":"Sheffield Lake","state":"OH","country":"USA"}
VM5248:1 coord_Minneapolis, MN, USA {"lat":44.9772995,"lng":-93.2654692,"city":"Minneapolis","state":"MN","country":"USA"}
VM5248:1 coord_Salem, MO, USA {"lat":37.6455993,"lng":-91.5359808,"city":"Salem","state":"MO","country":"USA"}
VM5248:1 coord_Laguna Beach, CA, USA {"lat":33.5426975,"lng":-117.785366,"city":"Laguna Beach","state":"CA","country":"USA"}
VM5248:1 coord_Altamont, NY, USA {"lat":42.7006324,"lng":-74.0337382,"city":"Altamont","state":"NY","country":"USA"}
VM5248:1 coord_Liverpool, England, United Kingdom {"lat":53.4071991,"lng":-2.99168,"city":"Liverpool","state":"England","country":"United Kingdom"}
VM5248:1 coord_Fort Meade, MD, USA {"lat":39.1031979,"lng":-76.7465173,"city":"Fort Meade","state":"MD","country":"USA"}
VM5248:1 coord_Huntsville, AL, USA {"lat":34.729847,"lng":-86.5859011,"city":"Huntsville","state":"AL","country":"USA"}
VM5248:1 coord_Cloverdale, OR, USA {"lat":45.201599,"lng":-123.885091,"city":"Cloverdale","state":"OR","country":"USA"}
VM5248:1 coord_Barcelona, Catalunya, Spain {"lat":41.3825802,"lng":2.177073,"city":"Barcelona","state":"Catalunya","country":"Spain"}
VM5248:1 coord_Hodgenville, KY, USA {"lat":37.5737487,"lng":-85.740353,"city":"Hodgenville","state":"KY","country":"USA"}
VM5248:1 coord_Pueblo, CO, USA {"lat":38.263995,"lng":-104.6141867,"city":"Pueblo","state":"CO","country":"USA"}
VM5248:1 coord_Burnaby, BC, Canada {"lat":49.2433804,"lng":-122.972545,"city":"Burnaby","state":"BC","country":"Canada"}
VM5248:1 coord_Kenmore, NY, USA {"lat":42.961748,"lng":-78.870914,"city":"Kenmore","state":"NY","country":"USA"}
VM5248:1 coord_Mississauga, ON, Canada {"lat":43.5896231,"lng":-79.6443879,"city":"Mississauga","state":"ON","country":"Canada"}
VM5248:1 coord_Afyonkarahisar, Türkiye {"lat":38.6852729,"lng":30.6427411,"state":"Afyonkarahisar","country":"Türkiye"}
VM5248:1 coord_Dubrovnik, Dubrovnik-Neretva County, Croatia {"lat":42.6491029,"lng":18.0939501,"city":"Dubrovnik","state":"Dubrovnik-Neretva County","country":"Croatia"}
VM5248:1 coord_Byblos, Mount Lebanon Governorate, Lebanon {"lat":33.8595746,"lng":35.5588057,"city":"Byblos","state":"Mount Lebanon Governorate","country":"Lebanon"}
VM5248:1 coord_Conselice, Emilia-Romagna, Italy {"lat":44.5127578,"lng":11.8291743,"city":"Conselice","state":"Emilia-Romagna","country":"Italy"}
VM5248:1 coord_Danbury, WI, USA {"lat":46.0066117,"lng":-92.3713048,"city":"Danbury","state":"WI","country":"USA"}
VM5248:1 coord_Wynnum, Queensland, Australia {"lat":-27.4377187,"lng":153.1659743,"city":"Wynnum","state":"Queensland","country":"Australia"}
VM5248:1 coord_Worcester, MA, USA {"lat":42.2625621,"lng":-71.8018877,"city":"Worcester","state":"MA","country":"USA"}
VM5248:1 coord_Pajaro Dunes, CA, USA {"lat":36.8673852,"lng":-121.8183169,"city":"Pajaro Dunes","state":"CA","country":"USA"}
VM5248:1 coord_Pangbourne, England, United Kingdom {"lat":51.483784,"lng":-1.0861578,"city":"Pangbourne","state":"England","country":"United Kingdom"}
VM5248:1 coord_Albuquerque, NM, USA {"lat":35.0841034,"lng":-106.650985,"city":"Albuquerque","state":"NM","country":"USA"}
VM5248:1 coord_Seattle, WA, USA {"lat":47.6038321,"lng":-122.330062,"city":"Seattle","state":"WA","country":"USA"}
VM5248:1 coord_Fortuna Foothills, AZ, USA {"lat":32.6689413,"lng":-114.3982363,"city":"Fortuna Foothills","state":"AZ","country":"USA"}
VM5248:1 coord_Pearl City, HI, USA {"lat":21.4001231,"lng":-157.969428,"city":"Pearl City","state":"HI","country":"USA"}
VM5248:1 coord_Jonesborough, TN, USA {"lat":36.2944928,"lng":-82.4734089,"city":"Jonesborough","state":"TN","country":"USA"}
VM5248:1 coord_Mora, MN, USA {"lat":45.8769031,"lng":-93.2938352,"city":"Mora","state":"MN","country":"USA"}
VM5248:1 coord_Painesville, OH, USA {"lat":41.7244885,"lng":-81.245657,"city":"Painesville","state":"OH","country":"USA"}
VM5248:1 coord_Astoria, OR, USA {"lat":46.1882007,"lng":-123.8319802,"city":"Astoria","state":"OR","country":"USA"}
VM5248:1 coord_Fullerton, CA, USA {"lat":33.8708215,"lng":-117.929416,"city":"Fullerton","state":"CA","country":"USA"}
VM5248:1 coord_Shoreline, WA, USA {"lat":47.7564667,"lng":-122.3437497,"city":"Shoreline","state":"WA","country":"USA"}
VM5248:1 coord_Buffalo, NY, USA {"lat":42.8867166,"lng":-78.8783922,"city":"Buffalo","state":"NY","country":"USA"}
VM5248:1 coord_Goodlettsville, TN, USA {"lat":36.3231067,"lng":-86.7133302,"city":"Goodlettsville","state":"TN","country":"USA"}
VM5248:1 coord_Lakewood, OH, USA {"lat":41.4819932,"lng":-81.7981908,"city":"Lakewood","state":"OH","country":"USA"}
VM5248:1 coord_West Springfield, MA, USA {"lat":42.105237,"lng":-72.6213712,"city":"West Springfield","state":"MA","country":"USA"}
VM5248:1 coord_Osmond, WY, USA {"lat":42.6829842,"lng":-110.9321445,"city":"Osmond","state":"WY","country":"USA"}
VM5248:1 coord_South Amboy, NJ, USA {"lat":40.4821114,"lng":-74.2828828,"city":"South Amboy","state":"NJ","country":"USA"}
VM5248:1 coord_San Antonio, TX, USA {"lat":29.4246002,"lng":-98.4951405,"city":"San Antonio","state":"TX","country":"USA"}
